MapMySectionsID,Genetics Tools Type,STPT Data File Path,STPT Thumbnail Image,Neuroglancer File Path,CCF Registered Image File Path,Target_Cell_Population,Qualitative Image Assessment,|,ABC.NN,Astro.TE.NN,CLA.EPd.CTX.Car3.Glut,Endo.NN,L2.3.IT.CTX.Glut,L4.5.IT.CTX.Glut,L5.ET.CTX.Glut,L5.IT.CTX.Glut,L5.NP.CTX.Glut,L6.CT.CTX.Glut,L6.IT.CTX.Glut,L6b.CTX.Glut,Lamp5.Gaba,Lamp5.Lhx6.Gaba,Lymphoid.NN,Microglia.NN,OPC.NN,Oligo.NN,Peri.NN,Pvalb.Gaba,Pvalb.chandelier.Gaba,SMC.NN,Sncg.Gaba,Sst.Chodl.Gaba,Sst.Gaba,VLMC.NN,Vip.Gaba
MMS.training.001,Enhancer AAV,s3://allen-genetic-tools/tissuecyte/1285852977/ome_zarr_conversion/1285852977.zarr/,https://s3.us-west-2.amazonaws.com/allen-genetic-tools/bio_file_finder/Thumbnails/STPT/689283_STPT_Thumbnail.png,https://neuroglancer-demo.appspot.com/#!s3://allen-genetic-tools/bio_file_finder/STPT/689283_STPT.json,https://s3.us-west-2.amazonaws.com/map-my-sections-802451596237-us-west-2/stpt-image-data/1285852977/1285852977.quantification.zip,067 LSX Sall3 Pax6 Gaba,"strong, sparse, GABAergic",|,,,,,,,,,,,,,,,,,,,,,,,,,,,
MMS.training.002,Enhancer AAV,s3://allen-genetic-tools/tissuecyte/1283915380/ome_zarr_conversion/1283915380.zarr/,https://s3.us-west-2.amazonaws.com/allen-genetic-tools/bio_file_finder/Thumbnails/STPT/685868_STPT_Thumbnail.png,https://neuroglancer-demo.appspot.com/#!s3://allen-genetic-tools/bio_file_finder/STPT/685868_STPT.json,https://s3.us-west-2.amazonaws.com/map-my-sections-802451596237-us-west-2/stpt-image-data/1283915380/1283915380.quantification.zip,052 Pvalb Gaba,"strong, dense, Astro",|,,,,,,,,,,,,,,,,,,,,,,,,,,,
MMS.training.003,Enhancer AAV,s3://allen-genetic-tools/tissuecyte/1121585094/ome-zarr/,https://s3.us-west-2.amazonaws.com/allen-genetic-tools/bio_file_finder/Thumbnails/STPT/579924_STPT_Thumbnail.png,https://neuroglancer-demo.appspot.com/#!s3://allen-genetic-tools/bio_file_finder/STPT/579924_STPT.json,https://s3.us-west-2.amazonaws.com/map-my-sections-802451596237-us-west-2/stpt-image-data/1121585094/1121585094.quantification.zip,052 Pvalb Gaba,"strong, dense, GABAergic; strong, dense, L5_Glutamatergic",|,,,,,,,,,,,,,,,,,,,,,,,,,,,
MMS.training.004,Enhancer AAV,s3://allen-genetic-tools/tissuecyte/1200969502/ome_zarr_conversion/1200969502.zarr/,https://s3.us-west-2.amazonaws.com/allen-genetic-tools/bio_file_finder/Thumbnails/STPT/634956_STPT_Thumbnail.png,https://neuroglancer-demo.appspot.com/#!s3://allen-genetic-tools/bio_file_finder/STPT/634956_STPT.json,https://s3.us-west-2.amazonaws.com/map-my-sections-802451596237-us-west-2/stpt-image-data/1200969502/1200969502.quantification.zip,333 Endo NN,"strong, sparse, Endo_Peri; weak, dense, Endo_Peri; weak, sparse, Astro; weak, sparse, Endo_Peri",|,0,5,0,3,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0
MMS.training.005,Enhancer AAV,s3://allen-genetic-tools/tissuecyte/1177798305/ome_zarr_conversion/1177798305.zarr/,https://s3.us-west-2.amazonaws.com/allen-genetic-tools/bio_file_finder/Thumbnails/STPT/622123_STPT_Thumbnail.png,https://neuroglancer-demo.appspot.com/#!s3://allen-genetic-tools/bio_file_finder/STPT/622123_STPT.json,https://s3.us-west-2.amazonaws.com/map-my-sections-802451596237-us-west-2/stpt-image-data/1177798305/1177798305.quantification.zip,327 Oligo NN,"strong, dense, Oligo",|,,,,,,,,,,,,,,,,,,,,,,,,,,,
MMS.training.006,Enhancer AAV,s3://allen-genetic-tools/tissuecyte/1195060569/ome_zarr_conversion/1195060569.zarr/,https://s3.us-west-2.amazonaws.com/allen-genetic-tools/bio_file_finder/Thumbnails/STPT/640002_STPT_Thumbnail.png,https://neuroglancer-demo.appspot.com/#!s3://allen-genetic-tools/bio_file_finder/STPT/640002_STPT.json,https://s3.us-west-2.amazonaws.com/map-my-sections-802451596237-us-west-2/stpt-image-data/1195060569/1195060569.quantification.zip,006 L4/5 IT CTX Glut,"[not assessed], [not assessed], Neuron; strong, dense, L23_Glutamatergic; strong, dense, L4_Glutamatergic; strong, dense, L5_Glutamatergic",|,0,0,1,0,27,19,46,1,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
MMS.training.007,Enhancer AAV,s3://allen-genetic-tools/tissuecyte/1171819575/ome_zarr_conversion/1171819575.zarr/,https://s3.us-west-2.amazonaws.com/allen-genetic-tools/bio_file_finder/Thumbnails/STPT/620455_STPT_Thumbnail.png,https://neuroglancer-demo.appspot.com/#!s3://allen-genetic-tools/bio_file_finder/STPT/620455_STPT.json,https://s3.us-west-2.amazonaws.com/map-my-sections-802451596237-us-west-2/stpt-image-data/1171819575/1171819575.quantification.zip,004 L6 IT CTX Glut,"strong, sparse, L6_Glutamatergic; weak, dense, L6_Glutamatergic",|,0,1,41,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
MMS.training.008,Enhancer AAV,s3://allen-genetic-tools/tissuecyte/1238484641/ome_zarr_conversion/1238484641.zarr/,https://s3.us-west-2.amazonaws.com/allen-genetic-tools/bio_file_finder/Thumbnails/STPT/653315_STPT_Thumbnail.png,https://neuroglancer-demo.appspot.com/#!s3://allen-genetic-tools/bio_file_finder/STPT/653315_STPT.json,https://s3.us-west-2.amazonaws.com/map-my-sections-802451596237-us-west-2/stpt-image-data/1238484641/1238484641.quantification.zip,004 L6 IT CTX Glut,"weak, sparse, L6_Glutamatergic",|,,,,,,,,,,,,,,,,,,,,,,,,,,,
MMS.training.009,Enhancer AAV,s3://allen-genetic-tools/tissuecyte/1346004262/ome_zarr_conversion/1346004262.zarr/,https://s3.us-west-2.amazonaws.com/allen-genetic-tools/bio_file_finder/Thumbnails/STPT/724985_STPT_Thumbnail.png,https://neuroglancer-demo.appspot.com/#!s3://allen-genetic-tools/bio_file_finder/STPT/724985_STPT.json,https://s3.us-west-2.amazonaws.com/map-my-sections-802451596237-us-west-2/stpt-image-data/1346004262/1346004262.quantification.zip,022 L5 ET CTX Glut,"strong, dense, L5_Glutamatergic",|,0,0,0,0,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MMS.training.010,Enhancer AAV,s3://allen-genetic-tools/tissuecyte/1327365632/ome_zarr_conversion/1327365632.zarr/,https://s3.us-west-2.amazonaws.com/allen-genetic-tools/bio_file_finder/Thumbnails/STPT/707215_STPT_Thumbnail.png,https://neuroglancer-demo.appspot.com/#!s3://allen-genetic-tools/bio_file_finder/STPT/707215_STPT.json,https://s3.us-west-2.amazonaws.com/map-my-sections-802451596237-us-west-2/stpt-image-data/1327365632/1327365632.quantification.zip,006 L4/5 IT CTX Glut,"strong, dense, L5_Glutamatergic; strong, sparse, L4_Glutamatergic; strong, sparse, L6_Glutamatergic",|,,,,,,,,,,,,,,,,,,,,,,,,,,,
